user_id,product_id,user_product_purchase_count,user_product_reorder_ratio,user_product_days_since_last_purchase,user_total_orders,user_reorder_ratio,user_avg_basket_size,user_mean_days_between_orders,user_days_since_last_order,log_user_total_orders
163834,26283,3,0.6666667,5.0,15,0.3090909,7.3333335,14.307693,30.0,2.772588722239781
125629,28204,2,0.5,30.0,11,0.6169154,18.272728,12.145251,12.0,2.4849066497880004
182247,14183,3,0.6666667,30.0,4,0.40625,8.0,23.75,30.0,1.6094379124341005
174134,20169,1,0.0,,13,0.5471698,16.307692,9.632124,13.0,2.639057329615259
107989,14429,1,0.0,1.0,51,0.70347005,12.431373,6.2951612,7.0,3.951243718581428
27741,5456,7,0.85714287,4.0,17,0.69924814,7.8235292,3.2,4.0,2.8903717578961645
51519,35223,1,0.0,5.0,5,0.2769231,13.0,8.142858,5.0,1.791759469228055
63789,20178,18,0.9444444,4.0,98,0.8736576,16.15306,4.0743804,3.0,4.59511985013459
62931,15008,1,0.0,9.0,20,0.4976,31.25,15.266223,19.0,3.044522437723423
98428,12508,2,0.5,30.0,7,0.08695652,6.571429,25.871796,26.0,2.079441541679836
63831,25837,1,0.0,30.0,7,0.40666667,21.428572,26.33846,30.0,2.079441541679836
32858,9327,1,0.0,17.0,30,0.7572614,16.066668,12.900862,14.0,3.4339872044851463
171615,23554,1,0.0,7.0,33,0.6284585,7.6666665,7.0,7.0,3.5263605246161616
133839,3494,1,0.0,4.0,85,0.65762,5.635294,4.7674417,2.0,4.454347296253507
22644,6077,1,0.0,7.0,11,0.58156025,12.818182,16.55814,28.0,2.4849066497880004
173916,40516,1,0.0,30.0,4,0.35443038,19.75,30.0,30.0,1.6094379124341005
105137,49325,1,0.0,4.0,41,0.7010526,11.585366,9.128821,26.0,3.737669618283368
185961,49235,2,0.5,7.0,17,0.36056337,20.882353,15.646341,30.0,2.8903717578961645
112167,26282,1,0.0,,10,0.2,6.5,17.857143,3.0,2.3978952727983707
99834,19057,1,0.0,21.0,14,0.5923077,9.285714,13.24,20.0,2.70805020110221
52531,31404,1,0.0,30.0,13,0.47887325,5.4615383,12.578125,5.0,2.639057329615259
167567,20876,1,0.0,3.0,66,0.678996,11.469697,4.967742,15.0,4.204692619390966
47606,5479,13,0.9230769,7.0,39,0.6816431,19.97436,9.200788,9.0,3.688879454113936
136826,48720,1,0.0,5.0,51,0.72228444,17.509804,7.0148063,7.0,3.951243718581428
121399,13966,1,0.0,13.0,19,0.63559324,12.421053,16.060465,13.0,2.995732273553991
27360,14852,1,0.0,16.0,30,0.63990265,13.7,12.194937,9.0,3.4339872044851463
193140,48527,5,0.8,6.0,18,0.41860464,11.944445,8.160194,6.0,2.9444389791664403
119725,22888,1,0.0,15.0,19,0.526738,19.68421,13.680912,5.0,2.995732273553991
191697,32864,2,0.5,18.0,27,0.490099,7.4814816,10.792553,4.0,3.332204510175204
178986,10957,2,0.5,0.0,11,0.23880596,6.090909,14.015385,19.0,2.4849066497880004
134821,28785,1,0.0,6.0,7,0.3690476,12.0,6.9305553,8.0,2.079441541679836
81616,42462,1,0.0,24.0,10,0.296875,6.4,21.61017,24.0,2.3978952727983707
7445,4334,1,0.0,7.0,21,0.62053573,10.666667,16.083721,5.0,3.091042453358316
149269,38739,3,0.6666667,2.0,91,0.73707867,4.89011,3.86758,0.0,4.5217885770490405
